country,method,spearman_r,p_value
Bangladesh,fc,0.5009794328681196,0.3113988579597024
Bangladesh,fo,0.7888934916555407,0.06214485492008959
Bangladesh,fr,0.46203082772527304,0.3562691930601864
Bangladesh,fu,0.5236349380886428,0.28633625373402716
Germany,fc,0.3236694374850748,0.5314499571644632
Germany,fo,-0.6179143806533246,0.1910939016901931
Germany,fr,-0.3188740696088466,0.5379005604702051
Germany,fu,0.3946648814672956,0.43873925151701676
USA,fc,-0.7944613465542746,0.05902759992532669
USA,fo,-0.6172133998483676,0.1917443573414232
USA,fr,0.2,0.704
USA,fu,0.6377481392176932,0.17307111024125976
