country,method,hard_alignment,soft_alignment,n
Bangladesh,fc,57.89473684210526,87.71929824561404,19
Bangladesh,fo,47.05882352941177,76.47058823529412,17
Bangladesh,fr,37.5,64.2361111111111,16
Bangladesh,fu,52.63157894736842,79.82456140350877,19
Germany,fc,47.05882352941177,75.16339869281045,17
Germany,fo,42.10526315789474,64.32748538011695,19
Germany,fr,31.25,70.1388888888889,16
Germany,fu,5.2631578947368425,40.058479532163744,19
USA,fc,25.0,63.88888888888889,12
USA,fo,26.31578947368421,55.55555555555555,19
USA,fr,22.22222222222222,64.19753086419752,18
USA,fu,44.44444444444444,64.50617283950618,18
